"Local Date","Local Time","Close","Net","%Chg","Open","Low","High","Volume","O-C","H-L","%CVol",""
"43915.6805555556","43915.6805555556","21200.55","0.0","0.0","21200.55","21200.55","21200.55","6994207.0","0.0","0.0","16975.2305825243",""
"43915.6423611111","43915.6423611111","21200.55","0.0","0.0","21200.55","21200.55","21200.55","412.0","0.0","0.0","-0.996172497723937",""
"43915.6388888889","43915.6388888889","21200.55","0.0","0.0","21200.55","21200.55","21200.55","107642.0","0.0","0.0","-0.984484443074791",""
"43915.6354166667","43915.6354166667","21200.55","0.0","0.0","21200.55","21200.55","21200.55","6937682.0","0.0","0.0","8.01193115909554",""
"43915.6319444444","43915.6319444444","21200.55","0.0","0.0","21200.55","21200.55","21200.55","769833.0","0.0","0.0","-0.99069650486369",""
"43915.6284722222","43915.6284722222","21200.55","7.02000000000044","0.000331233164083588","21188.18","21187.29","21200.55","82746644.0","12.369999999999","13.2599999999984","1.33273450338269",""
"43915.625","43915.625","21193.53","-155.32","-0.00727533333177196","21347.38","21097.46","21419.81","35471951.0","153.850000000002","322.350000000002","0.407033965764348",""
"43915.6215277778","43915.6215277778","21348.85","-135.900000000001","-0.00632541686545114","21484.78","21155.03","21484.78","25210444.0","135.93","329.75","0.83592788608097",""
"43915.6180555556","43915.6180555556","21484.75","-204.419999999998","-0.0094249803012286","21687.4","21460.58","21692.84","13731718.0","202.650000000001","232.259999999998","0.125464308639927",""
"43915.6145833333","43915.6145833333","21689.17","-182.620000000003","-0.00834956809662138","21875.08","21651.15","21902.65","12200936.0","185.910000000003","251.5","0.390971373041075",""
"43915.6111111111","43915.6111111111","21871.79","-5.68999999999869","-0.000260084799528954","21873.57","21846.85","21933.88","8771522.0","1.77999999999884","87.0300000000025","0.11154841607124",""
"43915.6076388889","43915.6076388889","21877.48","96.4599999999991","0.00442862639123416","21781.56","21781.38","21922.9","7891264.0","95.9199999999983","141.52","-0.109088573119468",""
"43915.6041666667","43915.6041666667","21781.02","-98.7999999999993","-0.00451557645355397","21879.87","21751.56","21919.12","8857518.0","98.8499999999985","167.559999999998","0.302126368405973",""
"43915.6006944444","43915.6006944444","21879.82","-24.5800000000017","-0.00112214897463531","21901.49","21845.0","21932.83","6802349.0","21.6700000000019","87.8300000000017","-0.149253352410158",""
"43915.5972222222","43915.5972222222","21904.4","44.6700000000019","0.00204348361118833","21858.8","21858.8","21925.33","7995740.0","45.6000000000022","66.5300000000025","0.0906845877955301",""
"43915.59375","43915.59375","21859.73","-56.9799999999996","-0.00259984276837169","21914.66","21803.4","21916.74","7330937.0","54.9300000000003","113.34","0.162968487106343",""
"43915.5902777778","43915.5902777778","21916.71","-58.0699999999997","-0.00264257480620965","21988.35","21890.87","21989.29","6303642.0","71.6399999999994","98.4200000000019","0.0297617054240518",""
"43915.5868055556","43915.5868055556","21974.78","65.8299999999981","0.00300470812156667","21903.93","21874.38","21974.78","6121457.0","70.8499999999985","100.399999999998","-0.124344899099763",""
"43915.5833333333","43915.5833333333","21908.95","87.75","0.0040213187175774","21820.01","21811.0","21948.5","6990717.0","88.9400000000023","137.5","0.32587423807983",""
"43915.5798611111","43915.5798611111","21821.2","-29.6499999999978","-0.0013569266184152","21852.88","21764.91","21882.49","5272534.0","31.6800000000003","117.580000000002","-0.105005706029244",""
"43915.5763888889","43915.5763888889","21850.85","96.1599999999999","0.00442019628870831","21756.22","21755.64","21882.23","5891137.0","94.6299999999974","126.59","0.166106654214761",""
"43915.5729166667","43915.5729166667","21754.69","1.81999999999971","8.36671207063578e-05","21750.69","21685.91","21768.85","5051971.0","4.0","82.9399999999987","-0.176564520093441",""
"43915.5694444444","43915.5694444444","21752.87","69.7099999999991","0.00321493730618596","21691.13","21650.05","21765.42","6135236.0","61.739999999998","115.369999999999","0.0174620282354338",""
"43915.5659722222","43915.5659722222","21683.16","-143.740000000002","-0.00658545189651309","21823.42","21668.44","21843.89","6029941.0","140.259999999998","175.450000000001","0.0372741132896756",""
"43915.5625","43915.5625","21826.9","-64.3999999999978","-0.00294180793283166","21891.17","21775.57","21910.6","5813257.0","64.2699999999968","135.029999999999","0.0197780480069159",""
